City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Lavrentiya,RU,65.5833,-171.0,-8.68,86,100,15.84,overcast clouds
81,Nagayo,JP,32.8242,129.8861,46.0,75,17,8.99,few clouds
82,Nampula,MZ,-15.1165,39.2666,75.2,88,75,10.36,broken clouds
83,Ilo,PE,-17.6394,-71.3375,73.76,64,0,9.28,clear sky
84,Chagoda,RU,59.164,35.3285,18.27,98,100,4.81,overcast clouds
85,Souillac,MU,-20.5167,57.5167,80.6,78,75,11.5,broken clouds
86,Stykkisholmur,IS,65.0757,-22.7297,25.14,96,100,4.97,light snow
87,Kudahuvadhoo,MV,2.6708,72.8944,81.7,79,1,13.8,clear sky
88,New Norfolk,AU,-42.7826,147.0587,55.99,73,1,1.39,clear sky
89,Waipawa,NZ,-41.4122,175.5153,60.8,72,4,19.57,clear sky
90,Takoradi,GH,4.8845,-1.7554,80.31,84,93,11.56,overcast clouds
91,Chiang Klang,TH,19.2938,100.8617,68.95,62,100,0.58,overcast clouds
92,Adamas,GR,36.7333,24.4333,60.8,72,100,18.41,overcast clouds
93,Sabang,ID,5.8933,95.3214,81.68,76,69,21.83,broken clouds
94,Sfantu Gheorghe,RO,45.8667,25.7833,33.01,86,100,8.01,overcast clouds
95,Tulun,RU,54.5611,100.5792,-32.51,82,0,3.22,clear sky
96,Dunedin,NZ,-45.8742,170.5036,61.0,70,100,4.0,moderate rain
97,Broken Hill,AU,-31.95,141.4333,73.4,28,75,3.44,broken clouds
98,Dioknisi,GE,41.6293,42.3917,48.2,71,75,3.44,broken clouds
99,Hithadhoo,MV,-0.6,73.0833,82.67,76,100,13.18,overcast clouds
100,Jaru,BR,-10.4389,-62.4664,83.16,86,100,3.94,overcast clouds
101,Houma,US,29.5958,-90.7195,73.99,53,1,16.11,clear sky
102,Geraldton,AU,-28.7667,114.6,68.0,77,0,5.75,clear sky
103,Tasiilaq,GL,65.6145,-37.6368,14.0,57,75,2.46,broken clouds
104,Rivers,CA,50.0308,-100.2403,21.2,79,90,6.91,overcast clouds
105,Saeby,DK,57.3319,10.5225,25.0,93,40,3.44,scattered clouds
106,Cherskiy,RU,68.75,161.3,-19.59,81,97,5.21,overcast clouds
107,Cidreira,BR,-30.1811,-50.2056,80.46,84,100,2.68,overcast clouds
108,Grindavik,IS,63.8424,-22.4338,30.2,74,75,9.22,broken clouds
109,Fayaoue,NC,-20.65,166.5333,78.42,79,100,23.89,overcast clouds
110,Alta Floresta,BR,-9.8756,-56.0861,87.8,66,40,6.91,scattered clouds
111,Sparks,US,39.5349,-119.7527,39.99,60,75,4.61,broken clouds
112,Vaitape,PF,-16.5167,-151.75,81.21,73,100,9.8,overcast clouds
113,Hermanus,ZA,-34.4187,19.2345,66.0,92,100,1.01,light rain
114,Tuatapere,NZ,-46.1333,167.6833,54.7,81,15,4.85,few clouds
115,Bredasdorp,ZA,-34.5322,20.0403,66.0,92,99,1.01,light rain
116,Ganzhou,CN,28.8184,115.4327,49.41,89,100,1.19,overcast clouds
117,Sola,VU,-13.8833,167.55,79.32,79,100,8.81,overcast clouds
118,Norman Wells,CA,65.282,-126.8329,-18.4,69,75,2.3,broken clouds
119,Beaverlodge,CA,55.2166,-119.4361,3.2,85,75,3.44,broken clouds
120,Bozhou,CN,33.8772,115.7703,44.62,60,0,7.63,clear sky
121,Nedjo,ET,9.5046,35.5019,64.58,38,0,3.71,clear sky
122,Coruripe,BR,-10.1256,-36.1756,81.99,69,66,12.68,broken clouds
123,Thompson,CA,55.7435,-97.8558,15.8,86,90,4.61,light snow
